0,0,0
0,5,0
0,10,-2
0,17,-5
2,26,-7
3,33,-9
4,40,-11
4,48,-12
4,57,-12
5,65,-12
4,75,-11
4,85,-10
3,97,-7
1,109,-4
0,123,-1
-2,138,2
-5,153,6
-9,170,12
-12,186,17
-18,208,25
-22,226,32
-32,267,49
-37,285,59
-46,318,80
-52,333,92
-58,347,106
-69,372,134
-75,382,150
-80,389,165
-86,395,179
-91,401,192
-96,403,205
-101,406,218
-106,408,230
-111,407,242
-116,406,254
-120,402,264
-125,399,275
-129,393,284
-133,386,292
-137,379,299
-141,371,306
-149,354,319
-153,343,324
-159,320,333
-162,309,337
-165,295,339
-167,281,340
-169,267,341
-169,250,339
-170,234,339
-170,202,334
-169,186,330
-168,170,327
-166,154,323
-164,137,318
-160,122,312
-157,106,307
-153,90,301
-148,76,294
-144,62,286
-139,48,277
-134,36,268
-128,23,257
-123,12,247
-116,1,235
-110,-9,224
-96,-26,199
-82,-40,174
-74,-45,162
-65,-49,148
-48,-55,123
-38,-57,111
-28,-57,99
-19,-57,87
-11,-54,76
-3,-51,66
4,-48,56
11,-43,48
18,-39,39
24,-32,31
29,-24,24
34,-16,18
38,-7,12
42,1,6
44,10,1
47,21,-2
50,30,-7
