0,0,0
5,-12,-3
12,-25,-7
19,-37,-10
29,-48,-14
38,-58,-18
52,-68,-21
63,-78,-25
76,-86,-27
89,-94,-29
105,-99,-30
136,-109,-31
169,-112,-31
201,-106,-30
232,-97,-28
249,-89,-28
265,-79,-27
281,-69,-26
297,-55,-24
310,-36,-23
323,-20,-21
335,-2,-18
347,18,-15
359,37,-11
368,60,-7
378,81,-2
385,105,2
390,130,8
395,155,16
400,179,23
404,205,32
407,233,41
409,260,50
410,288,59
410,315,69
407,341,79
403,366,89
398,389,99
393,413,109
387,435,118
379,456,127
371,474,136
362,493,143
351,508,150
338,522,155
325,534,158
311,543,160
296,550,161
282,557,162
267,560,161
250,561,159
233,562,155
216,560,152
181,552,143
163,546,139
145,538,134
128,530,128
112,519,122
96,507,116
81,495,109
69,481,102
55,468,96
44,452,90
33,438,84
22,422,78
12,406,74
-12,355,56
-24,321,47
-29,304,42
-34,287,38
-38,271,33
-41,238,25
-42,221,21
-43,205,17
-42,189,14
-41,173,11
-38,143,5
-35,129,3
-32,115,0
-27,101,-1
-24,88,-3
-19,76,-5
-14,65,-6
-9,55,-8
-4,45,-9
0,35,-10
7,26,-11
13,18,-11
17,10,-12
27,-3,-11
31,-9,-10
35,-14,-10
39,-18,-9
42,-22,-8
