0,0,0
10,21,-6
20,26,-5
32,39,-7
46,52,-10
61,67,-13
79,82,-15
95,98,-16
112,111,-17
147,132,-16
180,137,-13
195,134,-11
223,126,-8
251,111,-7
265,103,-5
293,87,-3
304,74,-3
314,60,-2
318,38,-3
325,20,-2
329,0,-1
332,-21,0
335,-39,0
335,-59,1
334,-77,1
330,-95,1
328,-114,3
321,-133,4
315,-151,7
310,-169,10
300,-185,13
292,-201,15
281,-216,17
270,-230,19
259,-242,20
248,-253,22
238,-265,24
226,-274,27
212,-281,29
199,-289,31
196,-285,31
183,-293,33
169,-299,37
155,-303,41
142,-307,45
129,-310,50
117,-312,55
104,-311,59
92,-312,62
80,-309,64
68,-306,67
57,-303,68
47,-298,69
37,-292,69
18,-277,70
9,-269,69
1,-260,68
-6,-251,67
-12,-241,65
-18,-231,64
-24,-220,62
-28,-208,59
-32,-196,56
-35,-184,54
-38,-171,51
-40,-159,48
-39,-146,45
-39,-121,40
-39,-108,38
-36,-95,36
-35,-82,33
-32,-71,31
-28,-60,29
-24,-49,27
-19,-40,25
-15,-30,24
-10,-22,22
-4,-14,20
1,-8,19
7,-1,17
20,6,15
26,9,15
