0,0,0
-7,-7,-6
-19,-13,-16
-28,-19,-24
-33,-30,-29
-44,-45,-36
-60,-58,-45
-72,-69,-53
-82,-79,-60
-97,-95,-66
-118,-115,-73
-137,-135,-78
-155,-151,-82
-171,-166,-86
-187,-179,-89
-205,-194,-90
-221,-207,-91
-236,-219,-91
-249,-227,-91
-261,-231,-92
-273,-235,-92
-285,-237,-92
-299,-236,-93
-313,-231,-93
-326,-225,-95
-340,-214,-98
-359,-202,-100
-380,-188,-103
-402,-172,-104
-424,-156,-103
-446,-140,-102
-469,-123,-100
-496,-105,-96
-524,-85,-90
-549,-68,-84
-568,-55,-77
-583,-40,-72
-596,-19,-69
-609,0,-64
