0,0,0
6,3,0
12,6,2
19,10,2
27,15,2
34,20,4
58,33,10
67,38,13
84,48,19
102,59,27
121,71,37
140,84,47
149,90,53
158,97,59
166,104,65
175,111,71
184,117,78
192,123,85
200,129,92
208,135,100
215,141,107
222,147,114
229,154,121
237,160,128
244,164,137
251,169,145
256,172,153
261,175,161
266,178,169
269,181,176
272,184,183
276,187,189
277,190,194
279,193,200
280,196,204
281,199,208
281,203,211
279,203,210
279,206,213
278,210,216
276,213,217
274,217,217
270,220,217
267,224,216
262,227,214
257,230,210
250,233,206
245,236,202
236,238,196
228,241,191
210,246,177
200,250,171
188,253,163
178,257,156
167,260,148
155,264,141
143,269,134
131,273,127
117,278,120
106,283,114
93,288,108
81,293,102
69,297,96
46,306,87
35,310,83
24,314,79
14,317,76
4,321,74
-3,325,72
-11,328,70
-18,331,69
-25,334,68
-30,336,67
-34,338,67
-37,339,66
-40,339,66
-43,338,65
-44,334,64
-42,331,63
-40,327,63
-38,323,63
-35,319,62
-31,313,62
-27,306,61
-21,299,60
-15,291,60
-8,281,59
-1,272,59
6,261,58
21,238,57
39,211,56
48,196,56
57,181,56
66,166,57
75,149,57
92,115,60
100,97,62
108,80,63
115,63,65
121,47,66
133,16,70
143,-12,74
147,-26,76
151,-39,78
155,-51,80
159,-62,82
162,-73,84
165,-83,86
167,-92,88
170,-101,90
172,-109,92
175,-123,95
177,-132,98
179,-137,100
180,-138,100
180,-139,100
181,-138,100
181,-135,100
182,-134,100
182,-124,100
182,-115,100
182,-106,99
182,-86,99
183,-63,100
184,-49,101
184,-37,102
184,-5,107
184,11,109
183,29,112
182,46,114
181,65,118
178,103,126
176,122,131
171,160,143
168,179,148
164,198,155
161,217,161
152,254,175
147,270,183
142,284,189
137,297,195
133,308,201
128,319,207
118,340,219
110,358,232
102,369,241
99,372,244
96,373,246
94,376,247
92,375,248
90,372,246
89,365,242
89,358,237
89,349,230
91,330,214
92,303,193
93,288,183
93,273,173
93,241,151
90,225,141
88,208,130
86,191,119
79,158,100
75,140,91
66,105,74
60,87,67
55,70,60
49,55,53
44,40,47
29,12,35
22,0,30
15,-10,27
4,-28,21
