0,0,0
-1,2,1
-3,5,4
-7,12,12
-10,16,16
-15,23,25
-19,28,31
-21,32,36
-25,35,42
-28,39,49
-31,43,56
-34,46,63
-38,49,70
-41,52,77
-45,56,84
-48,59,92
-51,62,99
-55,65,106
-58,68,113
-63,71,120
-67,73,128
-71,76,135
-75,78,141
-78,80,149
-82,82,156
-85,84,162
-89,85,168
-92,88,175
-97,89,181
-101,90,188
-105,92,195
-109,93,201
-113,94,206
-116,95,211
-119,96,216
-122,96,220
-124,97,223
-127,97,225
-129,97,227
-130,97,228
-132,97,228
-133,97,227
-131,97,225
-131,96,224
-131,96,220
-131,95,215
-132,94,211
-132,94,207
-133,93,203
-134,92,197
-135,92,192
-135,91,187
-137,90,182
-139,90,176
-142,90,170
-145,89,163
-148,90,156
-151,90,149
-158,90,133
-161,90,125
-165,91,116
-169,91,107
-174,91,99
-178,92,90
-183,93,81
-188,93,73
-193,94,64
-198,94,55
-202,94,47
-207,94,38
-212,95,30
-221,95,15
-226,96,8
-231,96,1
-235,96,-4
-239,96,-9
-243,96,-15
-246,96,-19
-249,96,-24
-251,95,-27
-254,95,-31
-255,94,-33
-256,93,-34
-257,93,-36
-256,91,-36
-255,90,-36
-253,89,-35
-251,88,-35
-247,87,-33
-244,86,-32
-240,85,-31
-236,84,-29
-230,83,-26
-225,82,-24
-219,81,-21
-213,79,-18
-206,78,-15
-190,75,-8
-175,71,0
-166,69,3
-158,68,8
-149,65,13
-140,63,18
-130,61,24
-121,58,29
-111,56,35
-102,53,41
-93,50,47
-83,47,52
-65,42,64
-56,38,70
-47,35,76
-39,32,83
-30,28,89
-21,25,94
-13,21,99
-4,17,105
3,14,110
11,11,114
19,7,119
33,2,126
53,-5,137
59,-8,140
64,-10,144
70,-13,147
75,-15,150
79,-17,153
82,-18,156
88,-21,161
89,-22,163
92,-23,165
93,-23,169
94,-23,171
93,-22,172
91,-20,172
89,-19,171
87,-17,171
85,-16,171
81,-14,171
74,-10,170
69,-7,169
64,-4,169
53,3,167
40,11,164
34,15,162
27,19,160
20,22,158
13,26,156
6,30,154
-9,39,150
-18,43,148
-27,47,146
-37,52,143
-56,60,140
-76,69,137
-87,73,136
-97,77,134
-108,82,134
-119,86,132
-129,91,132
-151,100,131
-161,103,131
-171,107,130
-180,110,129
-196,115,128
-203,117,128
-216,120,128
-223,122,128
-228,123,128
-233,125,128
-243,128,128
-247,129,129
-250,129,128
-251,129,129
-254,129,128
-251,127,127
-250,126,126
-247,124,125
-244,122,123
-236,117,119
-229,114,116
-224,111,113
-218,108,110
-205,101,103
-197,96,100
-189,92,96
-174,83,88
-156,72,80
-148,66,76
-131,54,67
-122,48,63
-105,36,54
-96,30,50
-80,16,42
-72,10,38
-57,-2,30
-45,-15,23
-34,-26,16
-29,-33,14
-24,-38,12
-17,-50,9
-13,-56,8
