0,0,0
4,-2,0
10,-7,4
19,-6,0
29,-8,1
41,-10,2
54,-10,1
66,-12,2
82,-14,3
97,-14,5
111,-15,6
125,-16,7
139,-15,8
153,-14,8
180,-9,9
192,-7,9
203,-4,10
214,-2,10
224,0,10
233,3,10
242,5,10
250,8,10
258,10,11
265,13,11
271,16,11
276,19,10
283,23,10
291,30,9
295,35,8
299,39,8
300,45,8
303,50,8
304,56,8
305,63,8
306,70,9
306,78,10
306,87,10
307,98,12
309,109,13
311,121,15
319,150,19
322,166,21
326,183,22
328,201,24
330,219,25
332,237,27
334,255,30
335,272,33
336,289,36
337,304,39
337,319,43
337,332,46
336,345,48
333,368,54
332,379,56
329,387,58
326,395,60
322,401,62
318,405,64
314,411,66
309,414,67
304,418,68
297,421,69
289,422,69
281,425,69
272,427,69
250,431,67
236,432,66
224,434,65
211,436,64
196,437,63
181,439,62
165,441,60
149,443,59
132,445,58
115,447,57
98,449,58
83,451,58
68,452,59
39,456,61
26,458,62
12,460,64
1,462,66
-9,464,67
-17,467,69
-25,469,71
-32,471,73
-37,474,74
-43,476,76
-48,478,77
-53,479,77
-58,480,78
-65,482,78
-66,482,77
-68,481,76
-70,480,75
-72,476,73
-73,471,70
-74,465,67
-75,458,64
-75,452,60
-74,442,56
-72,432,51
-71,420,47
-69,407,42
-68,376,32
-67,358,27
-65,340,22
-63,323,19
-61,303,16
-58,281,13
-57,262,10
-55,241,9
-54,221,7
-54,200,6
-53,181,7
-52,164,7
-53,148,8
-49,120,9
-48,106,9
-44,96,10
-42,85,11
-41,75,12
-39,67,13
-38,60,14
-37,53,15
-36,47,17
-35,42,19
-34,39,20
-33,37,22
