0,0,0
-1,3,-2
-3,8,-6
-5,12,-9
-8,17,-13
-11,24,-18
-14,30,-23
-18,38,-27
-21,45,-31
-25,52,-36
-29,61,-39
-33,69,-43
-37,78,-46
-41,87,-50
-45,96,-54
-54,114,-60
-60,123,-63
-65,131,-66
-71,139,-68
-76,146,-69
-81,153,-71
-86,160,-71
-91,165,-72
-96,170,-73
-101,173,-73
-106,177,-73
-112,178,-74
-117,180,-75
-130,180,-79
-136,178,-82
-143,177,-84
-149,176,-86
-156,174,-89
-164,171,-93
-172,168,-97
-180,165,-102
-188,161,-106
-196,157,-111
-205,152,-116
-213,147,-122
-232,136,-133
-242,130,-139
-252,125,-145
-262,119,-150
-271,114,-155
-280,109,-160
-288,104,-165
-296,100,-169
-304,97,-174
-311,93,-178
-328,83,-188
-337,75,-193
-346,64,-200
-350,54,-204
-352,49,-206
-354,43,-208
-355,36,-210
-356,29,-212
-356,22,-214
-357,15,-216
-358,6,-217
-360,-4,-219
-362,-13,-221
-364,-25,-223
-368,-48,-226
-370,-61,-227
-372,-73,-227
-373,-85,-227
-375,-97,-228
-377,-110,-227
-379,-123,-226
-382,-135,-224
-385,-146,-223
-388,-157,-222
-390,-167,-221
-392,-175,-220
-394,-190,-217
-394,-195,-215
-394,-201,-214
-392,-205,-211
-390,-208,-209
-388,-212,-206
-384,-213,-204
-379,-212,-202
-374,-213,-199
-368,-212,-196
-359,-210,-194
-352,-209,-191
-339,-205,-187
-316,-199,-175
-302,-196,-168
-289,-192,-162
-273,-186,-153
-258,-181,-146
-242,-175,-137
-227,-168,-129
-210,-159,-120
-194,-151,-112
-176,-141,-102
-157,-129,-92
-138,-118,-81
-120,-106,-70
-85,-79,-47
-69,-65,-36
-54,-51,-25
-42,-36,-15
-29,-22,-5
-239,156,-84
-244,166,-88
-249,177,-90
-255,189,-92
-261,202,-95
-268,214,-98
-285,242,-103
-295,255,-105
-306,268,-108
-316,283,-108
-326,296,-107
-335,310,-106
-343,325,-103
-350,340,-99
-356,356,-94
-364,370,-89
-371,386,-83
-378,402,-75
