0,0,0
2,5,2
5,11,4
8,17,7
11,23,11
15,31,15
19,39,19
22,46,23
26,64,32
28,73,38
31,82,44
33,92,50
37,102,58
40,110,65
43,120,72
45,130,80
48,140,87
51,150,94
52,160,101
54,169,107
56,179,114
58,187,120
60,200,132
60,205,136
59,209,140
58,214,144
55,217,145
53,221,147
48,224,147
44,228,148
40,232,149
35,235,150
30,239,151
26,243,152
16,252,156
11,257,158
6,262,159
1,267,161
-4,271,162
-11,275,163
-18,279,163
-25,283,163
-33,286,163
-40,289,162
-48,292,161
-55,295,161
-62,297,160
-77,301,158
-84,304,157
-91,306,156
-98,307,155
-105,309,153
-111,311,152
-118,312,151
-124,313,150
-129,314,149
-134,314,147
-138,315,146
-142,315,145
-146,315,143
-153,314,138
-156,313,136
-160,308,131
-165,302,125
-169,295,117
-174,284,106
-183,266,86
-187,257,77
-200,229,50
-204,219,41
-213,198,22
-217,187,14
-222,178,6
-226,168,-1
-230,158,-9
-235,148,-17
-241,138,-23
-246,128,-30
-251,118,-35
-259,100,-45
-263,91,-50
-267,83,-54
-271,76,-57
-274,69,-60
-277,62,-62
-279,55,-65
-281,48,-66
-282,42,-68
-284,35,-69
-286,29,-71
-288,25,-71
-289,19,-72
-288,10,-72
-287,6,-72
-285,-1,-71
-284,-5,-69
-281,-7,-68
-278,-9,-66
-273,-10,-64
-267,-12,-62
-262,-13,-60
-254,-15,-58
-247,-16,-56
-236,-16,-53
-215,-17,-49
-202,-18,-46
-190,-20,-44
-175,-21,-41
-160,-23,-37
-145,-24,-34
-130,-25,-29
-116,-26,-25
-100,-27,-20
-84,-28,-13
-70,-29,-7
-57,-30,0
-44,-30,5
-22,-30,20
-13,-29,27
-207,180,57
-217,185,57
-242,198,58
-254,204,58
-283,215,62
-297,221,65
-327,234,70
-340,241,74
-353,249,78
-364,257,81
-376,263,85
