0,0,0
-5,1,0
-12,3,-1
-14,4,0
-21,5,-1
-36,11,-2
-45,10,-3
-54,12,-3
-62,13,-4
-71,14,-4
-80,16,-4
-89,17,-4
-98,18,-4
-108,19,-4
-117,20,-3
-126,21,-3
-134,22,-3
-143,22,-2
-159,24,-1
-166,24,-1
-181,25,0
-188,25,0
-195,25,1
-201,25,2
-206,25,2
-215,25,3
-222,24,4
-228,22,4
-234,13,1
-234,11,0
-232,8,-1
-231,5,-2
-230,1,-5
-228,-2,-7
-226,-7,-9
-224,-12,-12
-221,-17,-15
-218,-23,-18
-215,-29,-21
-211,-43,-28
-209,-50,-31
-205,-65,-36
-203,-74,-39
-200,-81,-42
-198,-89,-45
-195,-97,-47
-193,-104,-49
-191,-110,-51
-189,-117,-53
-187,-123,-54
-184,-127,-56
-179,-135,-57
-176,-138,-58
-173,-140,-59
-170,-142,-59
-167,-142,-59
-164,-143,-60
-160,-143,-59
-157,-143,-59
-153,-143,-59
-148,-142,-59
-143,-142,-59
-137,-141,-59
-130,-141,-59
-119,-143,-58
-112,-144,-58
-98,-147,-57
-91,-148,-57
-84,-149,-56
-77,-151,-55
-70,-153,-55
-63,-155,-54
-56,-157,-53
-49,-159,-51
-42,-160,-50
-35,-162,-49
-21,-164,-46
-15,-165,-44
-8,-166,-43
-2,-167,-42
3,-166,-40
9,-166,-39
14,-166,-38
19,-165,-38
22,-163,-37
26,-162,-36
30,-159,-36
32,-156,-36
35,-154,-36
38,-148,-35
40,-146,-35
43,-139,-34
45,-135,-34
46,-130,-33
48,-125,-32
51,-120,-31
53,-114,-30
57,-107,-28
60,-101,-26
63,-95,-25
66,-89,-23
71,-77,-18
74,-71,-16
80,-60,-11
83,-55,-9
86,-52,-6
88,-47,-4
90,-44,-1
93,-40,0
95,-36,3
97,-32,5
98,-29,7
99,-26,9
99,-20,12
98,-18,13
97,-13,16
96,-11,17
93,-9,17
91,-8,18
88,-7,18
84,-6,18
79,-6,18
75,-5,18
69,-5,18
62,-5,17
50,-5,16
35,-4,15
20,-5,14
12,-5,14
5,-5,14
-1,-6,14
-8,-7,14
-15,-7,14
-21,-8,14
-85,-161,-58
-86,-171,-63
-87,-179,-65
-87,-186,-68
-88,-194,-71
-89,-202,-72
-93,-214,-74
-96,-224,-75
-101,-234,-76
