0,0,0
0,0,0
-1,2,0
-1,5,0
-1,9,0
-1,14,0
-1,21,0
-1,30,2
0,38,2
0,49,3
0,61,5
0,84,8
0,96,10
0,108,13
0,120,16
0,131,18
0,140,22
0,148,24
1,155,27
182,-164,96
179,-160,94
177,-155,90
174,-150,85
171,-145,82
168,-137,77
148,-96,67
146,-89,67
139,-75,67
135,-67,66
130,-61,65
126,-55,63
121,-49,62
115,-43,60
102,-35,56
94,-31,54
86,-27,51
71,-20,46
63,-17,43
53,-14,39
43,-11,35
33,-8,31
21,-6,28
11,-4,26
1,-2,24
-6,-1,22
-15,0,20
-23,1,19
-41,2,16
-51,2,14
-61,3,12
-70,3,9
-80,3,7
-89,2,4
-97,2,2
-119,0,-2
-131,-3,-5
-155,-11,-13
-160,-14,-16
-166,-17,-18
-171,-21,-22
-177,-26,-26
-182,-31,-30
-188,-37,-34
-194,-45,-39
-201,-52,-43
-208,-61,-46
-226,-78,-53
-235,-87,-55
-243,-96,-57
-250,-105,-58
-257,-113,-60
-261,-121,-59
-267,-129,-60
-271,-135,-60
-275,-141,-60
-279,-147,-60
-282,-152,-60
-285,-156,-60
-286,-160,-60
-288,-169,-58
-287,-173,-56
-286,-177,-54
-284,-180,-52
-282,-183,-50
-277,-185,-48
-270,-187,-46
-265,-189,-44
-257,-191,-42
-247,-192,-40
-237,-194,-39
-226,-195,-36
-215,-197,-35
-188,-199,-30
-173,-199,-28
-159,-200,-26
-144,-200,-23
-128,-200,-21
-111,-200,-18
-94,-200,-14
-76,-200,-9
-59,-200,-4
-41,-200,0
-22,-200,7
-3,-198,14
16,-196,22
53,-191,36
70,-188,43
100,-182,54
115,-180,60
128,-177,67
141,-175,73
152,-173,78
164,-171,84
174,-169,90
183,-166,95
