0,0,0
-6,0,-2
-12,1,-5
-18,3,-9
-24,4,-12
-31,6,-15
-39,7,-19
-47,9,-23
-55,11,-26
-72,14,-32
-81,16,-35
-89,18,-36
-97,18,-38
-6,-133,-2
-7,-126,-3
-7,-120,-2
-8,-111,-6
-8,-94,-8
-8,-84,-9
-9,-75,-9
-9,-65,-7
-10,-55,-5
-10,-44,-3
-11,-34,-1
-11,-24,1
-11,-14,4
-12,-3,7
-12,5,10
-12,16,13
-12,25,16
-10,42,23
-8,49,26
-7,55,30
-6,61,34
-5,65,37
-4,70,40
-4,74,43
-4,78,46
-3,83,49
-3,88,52
-1,93,55
0,98,59
2,103,62
8,112,71
10,116,75
13,120,79
16,125,84
20,129,88
24,133,94
28,138,100
32,143,107
37,148,114
41,154,121
45,160,128
49,165,135
52,171,142
59,180,156
61,185,163
67,195,178
70,200,185
72,204,192
73,208,198
75,212,204
77,215,210
78,217,215
79,219,219
80,221,224
81,222,230
84,224,238
86,223,244
87,222,247
88,219,248
90,217,250
91,214,251
93,210,251
94,205,250
96,200,250
99,193,247
101,186,246
103,178,244
109,160,237
112,150,234
114,139,230
117,129,227
121,117,223
124,105,219
127,93,215
130,80,210
133,66,206
136,52,200
139,39,196
142,25,192
145,9,188
150,-21,180
154,-54,173
155,-68,170
157,-83,167
159,-97,164
160,-111,161
161,-124,157
161,-136,153
162,-147,149
162,-158,146
161,-176,142
160,-183,140
158,-196,136
154,-202,131
152,-205,129
148,-207,125
145,-208,121
141,-209,117
136,-209,112
131,-208,108
125,-207,102
120,-206,97
112,-203,91
98,-197,79
83,-188,65
75,-182,58
59,-171,45
51,-166,39
43,-160,33
34,-155,28
26,-151,24
