0,0,0
-7,0,-2
-17,1,-5
-37,2,-11
-49,4,-14
-62,6,-17
-76,8,-20
-90,9,-23
-106,12,-26
-121,14,-29
-138,16,-31
-154,18,-32
-170,20,-33
-187,21,-34
-204,23,-35
-234,27,-34
-249,28,-33
-262,29,-32
-274,30,-30
-286,31,-28
-298,31,-25
-318,33,-19
-336,37,-14
-351,41,-10
-373,58,0
-375,67,5
-376,72,7
-374,80,9
-372,87,10
-370,95,10
-367,104,11
-360,114,10
-355,124,11
-351,132,11
-345,142,12
-334,159,13
-326,169,12
-319,178,13
-311,187,13
-304,196,13
-297,203,13
-291,210,14
-285,217,14
-280,222,15
-276,226,15
-271,230,15
-268,234,15
-261,239,15
-258,241,15
-255,244,14
-250,246,13
-245,248,13
-238,250,12
-230,251,11
-222,253,10
-212,254,10
-202,255,9
-192,255,8
-183,255,8
-173,255,9
-153,254,10
-141,253,11
-129,253,13
-118,252,14
-105,252,17
-94,252,18
-83,252,20
-72,252,21
-63,253,22
-54,254,23
-45,254,24
-37,254,25
-31,253,25
-19,250,26
-15,247,25
-9,238,23
-7,232,20
-5,225,18
-3,218,17
-1,209,15
0,200,14
1,191,13
2,179,12
4,169,11
6,158,10
11,137,8
13,126,7
15,116,6
17,105,5
19,95,4
21,84,3
22,74,3
23,65,4
24,55,5
25,46,5
26,38,6
27,32,8
29,25,9
32,16,13
33,14,15
-142,261,33
-141,267,31
-140,273,31
-140,279,30
-141,287,30
-141,295,31
-143,305,30
-143,317,29
-144,331,30
-144,345,30
-144,359,31
-144,374,34
-145,387,35
