0,0,0
0,2,0
0,6,0
1,11,0
1,15,0
2,21,0
2,26,0
2,31,0
2,37,0
2,43,1
2,49,1
3,62,1
3,68,1
3,74,2
4,80,2
4,85,3
5,91,4
6,95,4
7,99,4
7,102,5
55,-13,12
49,-13,10
44,-13,9
38,-11,7
32,-11,6
26,-10,5
20,-7,3
14,-5,2
8,-3,1
1,-2,0
-4,0,0
-16,2,0
-22,3,0
-27,4,0
-33,4,0
-38,5,0
-43,5,-1
-47,5,-1
-52,5,-1
-56,5,-1
-59,4,0
-63,3,-1
-67,2,-1
-71,0,-1
-80,-5,-3
-84,-7,-3
-89,-11,-5
-94,-15,-6
-100,-19,-7
-105,-24,-9
-111,-29,-10
-116,-33,-12
-122,-38,-14
-127,-42,-16
-133,-47,-18
-139,-51,-20
-150,-60,-23
-155,-64,-25
-161,-69,-26
-166,-72,-27
-171,-76,-29
-174,-79,-30
-178,-82,-31
-181,-84,-32
-184,-87,-33
-187,-89,-33
-189,-90,-34
-191,-92,-34
-192,-94,-34
-193,-96,-34
-192,-98,-33
-191,-100,-32
-190,-101,-31
-189,-103,-30
-186,-104,-28
-183,-105,-27
-180,-106,-25
-176,-107,-24
-173,-108,-22
-167,-109,-21
-162,-109,-19
-156,-110,-18
-150,-111,-17
-136,-112,-14
-129,-113,-13
-121,-113,-11
-113,-114,-10
-105,-115,-8
-96,-115,-6
-87,-116,-5
-78,-117,-3
-68,-117,-1
-58,-118,1
-47,-118,3
-37,-119,5
-15,-119,11
-5,-120,14
5,-120,17
15,-121,20
26,-121,24
36,-121,28
46,-121,31
56,-122,35
66,-121,39
75,-121,42
84,-121,46
92,-121,49
99,-120,52
112,-119,56
119,-118,58
128,-115,61
132,-114,62
135,-112,63
137,-111,63
138,-109,62
139,-106,62
138,-103,61
137,-100,60
136,-97,59
134,-93,57
127,-85,54
124,-80,53
116,-69,50
111,-64,48
107,-59,47
101,-54,45
95,-48,43
89,-42,42
84,-37,40
78,-32,39
72,-27,38
66,-22,37
56,-13,37
51,-9,36
