0,0,0
-7,5,-2
-15,10,-5
-21,15,-8
-28,21,-10
-41,31,-14
-47,36,-15
-52,41,-15
-56,46,-16
-61,51,-17
-64,56,-17
-69,60,-18
-72,63,-18
-76,66,-18
-81,67,-18
-84,68,-17
-87,67,-17
-95,66,-16
-99,63,-16
-105,61,-17
-110,57,-17
-117,54,-18
-123,50,-19
-130,47,-19
-137,43,-20
-144,39,-21
-151,35,-22
-159,31,-23
-166,27,-25
-174,23,-26
-189,16,-29
-197,12,-31
-205,8,-33
-212,5,-35
-219,1,-36
-231,-7,-38
-244,-16,-40
-257,-25,-42
-264,-30,-43
-275,-38,-44
-284,-45,-44
-292,-51,-45
-295,-53,-46
-298,-54,-47
-301,-56,-47
-303,-57,-48
-304,-58,-49
-304,-58,-50
-304,-59,-51
-304,-60,-51
-304,-62,-51
-305,-65,-52
-308,-72,-53
-308,-75,-54
-309,-79,-55
-309,-84,-57
-310,-89,-58
-311,-95,-59
-314,-103,-60
-316,-110,-61
-317,-118,-62
-318,-127,-62
-318,-134,-62
-318,-143,-61
-318,-152,-60
-319,-169,-59
-319,-177,-58
-319,-184,-57
-319,-192,-55
-319,-199,-54
-318,-205,-53
-317,-211,-52
-316,-216,-51
-315,-221,-50
-315,-225,-50
-313,-229,-49
-313,-232,-48
-311,-235,-47
-307,-238,-46
-304,-239,-45
-299,-239,-44
-295,-238,-43
-289,-236,-41
-283,-233,-39
-277,-230,-38
-271,-227,-35
-263,-223,-32
-255,-218,-29
-245,-213,-27
-234,-206,-24
-222,-200,-22
-198,-186,-16
-173,-170,-8
-161,-163,-4
-148,-154,0
-134,-144,3
-120,-135,6
-106,-124,10
-92,-114,15
-79,-105,19
-67,-95,23
-55,-85,27
-43,-76,31
-21,-57,38
-12,-48,41
5,-31,47
12,-23,50
19,-16,54
-207,46,-9
-211,52,-10
-214,57,-11
-217,62,-12
-222,69,-13
-227,74,-14
-233,81,-14
-239,87,-15
-249,102,-14
-253,110,-14
